kind	head	tree	sha256	redaction_verdict	file
critical-e2e	7b9cf1731fb8a5d0d831ab90e6d42aa34ffc4f4e	081e7b1f65069e529a70fc16799b30461997a737	1988a463c57358d9b004a731b2c41caf1144676ca9df2671e0a605d0046e3f6b	PASS	critical-e2e.log
full-suite	7b9cf1731fb8a5d0d831ab90e6d42aa34ffc4f4e	081e7b1f65069e529a70fc16799b30461997a737	15d9382fced3cb4bd1ebc885d9f96a4562503a3aeb539102c7fb523681f3c255	PASS	full-suite.log
privacy-scan	7b9cf1731fb8a5d0d831ab90e6d42aa34ffc4f4e	081e7b1f65069e529a70fc16799b30461997a737	40b03d44918a55564fe6a3245a25e1ce667f8ced239bede2aab0fcb8f74fbf87	PASS	privacy-scan.log
